atm_id,lat,lng,city,bank,address,cluster_id
ATM0001,28.575033,77.233155,Delhi,SBI,"H.No. 135, Mand Circle, Etawah 374117",0
ATM0002,28.577854,77.16925,Delhi,BOB,"51/574, Kumer Chowk, Rajahmundry 583606",0
ATM0003,28.618437,77.218049,Delhi,SBI,"H.No. 385, Chacko Ganj, Dhule-582056",0
ATM0004,28.57327,77.182266,Delhi,Canara,"51/34, Sarma Road, Gandhinagar 577959",0
ATM0005,28.620025,77.230602,Delhi,BOB,"41/24, Cherian Marg, Kolhapur 765635",0
ATM0006,28.605852,77.203921,Delhi,SBI,"19, Chowdhury Path, Berhampore 685138",0
ATM0007,28.65083,77.234881,Delhi,SBI,"H.No. 39, Choudhary Path, Anantapuram-219624",0
ATM0008,28.606161,77.186787,Delhi,SBI,"37, Chauhan Chowk, Sangli-Miraj & Kupwad-140529",0
ATM0009,28.640249,77.169221,Delhi,PNB,"35/71, Subramanian Road, Proddatur-590636",0
ATM0010,28.599798,77.193396,Delhi,SBI,"H.No. 199, Balan Nagar, Jodhpur 086414",0
ATM0011,28.568245,77.204942,Delhi,SBI,"H.No. 035, Bera Chowk, Barasat 091864",0
ATM0012,28.65613,77.16688,Delhi,SBI,"H.No. 93, Dara Ganj, Pimpri-Chinchwad 858938",0
ATM0013,28.626764,77.247545,Delhi,PNB,"56/80, Atwal Chowk, Proddatur 576654",0
ATM0014,28.583129,77.165956,Delhi,Canara,"77, Bala Marg, Satara 759586",0
ATM0015,28.641207,77.257522,Delhi,ICICI,"74/40, Ravi Zila, Pudukkottai 232321",0
ATM0016,28.650548,77.197013,Delhi,PNB,"19/297, Agate Nagar, Jorhat 256640",0
ATM0017,28.647311,77.175265,Delhi,PNB,"64/24, Parsa Ganj, Shimoga 905570",0
ATM0018,28.630918,77.229182,Delhi,Canara,"899, Ratta Road, Shimoga-694230",0
ATM0019,28.57104,77.222498,Delhi,PNB,"87/93, Shanker Road, Ichalkaranji-008096",0
ATM0020,28.588381,77.205226,Delhi,SBI,"H.No. 64, Rao Chowk, Kadapa 920632",0
ATM0021,28.656439,77.227816,Delhi,SBI,"H.No. 64, Dalal Street, Aligarh 791435",0
ATM0022,28.596328,77.235831,Delhi,SBI,"H.No. 201, Dubey Nagar, Gwalior-820861",0
ATM0023,28.64608,77.239505,Delhi,PNB,"H.No. 443, Kaul Zila, Tumkur-663733",0
ATM0024,28.570519,77.250314,Delhi,Canara,"40/358, Badal Path, Latur-913774",0
ATM0025,28.635691,77.180263,Delhi,PNB,"654, Pall, Mira-Bhayandar 813137",0
ATM0026,28.652368,77.223285,Delhi,SBI,"584, Maharaj Ganj, Hazaribagh 331692",0
ATM0027,28.577863,77.233499,Delhi,PNB,"74, Wason Ganj, Nashik 699784",0
ATM0028,28.638601,77.201843,Delhi,Canara,"325, Salvi Chowk, Raurkela Industrial Township-499943",0
ATM0029,28.6001,77.258733,Delhi,SBI,"95/15, Char Chowk, Udupi-372366",0
ATM0030,28.613252,77.234578,Delhi,ICICI,"842, Sen Ganj, Saharsa 773878",0
ATM0031,28.579184,77.174998,Delhi,Canara,"19/228, Raman Nagar, Nagercoil 500740",0
ATM0032,28.623541,77.197477,Delhi,Canara,"H.No. 167, Boase, Patiala-291212",0
ATM0033,28.610705,77.184141,Delhi,Canara,"09/779, Lala Street, Medininagar-436999",0
ATM0034,28.658143,77.227028,Delhi,SBI,"54/055, Bhalla Circle, Sonipat 433532",0
ATM0035,28.652379,77.234088,Delhi,BOB,"98/03, Sachar Circle, Kollam 930897",0
ATM0036,19.037155,72.871177,Mumbai,PNB,"H.No. 95, Yohannan Circle, Dindigul-666660",1
ATM0037,19.121382,72.915285,Mumbai,SBI,"39, Mutti, Gudivada 359767",1
ATM0038,19.076059,72.845565,Mumbai,HDFC,"H.No. 206, Varkey Zila, Nagaon 923245",1
ATM0039,19.113052,72.857544,Mumbai,Canara,"H.No. 64, Manne Nagar, Ramagundam 030415",1
ATM0040,19.086897,72.842984,Mumbai,BOB,"545, Merchant Zila, Bokaro-319157",1
ATM0041,19.079938,72.905563,Mumbai,PNB,"H.No. 568, Palla Ganj, Delhi 572118",1
ATM0042,19.026057,72.860116,Mumbai,SBI,"H.No. 455, Chandran Path, Rewa-700617",1
ATM0043,19.11891,72.915572,Mumbai,ICICI,"78, Sastry Ganj, Kulti 162143",1
ATM0044,19.056751,72.833493,Mumbai,ICICI,"23/942, Bora Chowk, Alappuzha 466705",1
ATM0045,19.120695,72.836265,Mumbai,PNB,"94, Mukhopadhyay Zila, Jabalpur-094605",1
ATM0046,19.032921,72.90376,Mumbai,BOB,"H.No. 41, Nadkarni Ganj, Rajkot 696887",1
ATM0047,19.038839,72.875228,Mumbai,PNB,"72/582, Patla, Vadodara-323367",1
ATM0048,19.052506,72.914943,Mumbai,PNB,"78/342, Divan, Sagar 714475",1
ATM0049,19.04718,72.88163,Mumbai,BOB,"H.No. 60, Sane Ganj, Etawah-923191",1
ATM0050,19.046115,72.858872,Mumbai,HDFC,"27/46, Karnik Circle, Patna-241893",1
ATM0051,19.090988,72.87151,Mumbai,PNB,"98/289, Tara Chowk, Jammu 271264",1
ATM0052,19.0381,72.85017,Mumbai,SBI,"52/646, Lala Marg, Kollam-930833",1
ATM0053,19.084831,72.850711,Mumbai,SBI,"04, Manda Road, Akola 735292",1
ATM0054,19.033099,72.89081,Mumbai,SBI,"590, Som Nagar, Pallavaram-436011",1
ATM0055,19.116542,72.913664,Mumbai,SBI,"30/37, Ram, Ratlam-257438",1
ATM0056,19.0498,72.894598,Mumbai,SBI,"H.No. 17, Karnik, Bhubaneswar-418383",1
ATM0057,19.039231,72.921251,Mumbai,Canara,"35/055, Thakur Zila, Imphal-938823",1
