cluster_id,centroid_lat,centroid_lng,city,atm_count
0,28.615496,77.211342,Delhi,35
1,19.067749,72.877147,Mumbai,25
2,22.564458,88.366472,Kolkata,36
3,13.092285,80.274067,Chennai,16
4,17.393183,78.489225,Hyderabad,29
5,12.973414,77.589587,Bengaluru,19
6,23.020827,72.578802,Ahmedabad,39
7,26.914376,75.779128,Jaipur,22
8,26.83925,80.942971,Lucknow,22
9,25.601268,85.133685,Patna,33
10,18.511207,73.872281,Pune,15
11,21.171287,72.828699,Surat,29
12,23.962324,86.984386,Jamtara,34
13,23.790251,86.431602,Dhanbad,34
14,27.382935,77.602691,Mathura,60
15,28.108058,76.993272,Nuh,17
16,24.479462,86.703896,Deoghar,17
17,27.543866,76.633662,Alwar,32
18,28.985444,77.705412,Meerut,21
