complaint_id,victim_city,amount,amount_band,victim_bank,fraud_type,transaction_count,mule_bank,complaint_hour,complaint_delay_hours,day_of_week,withdrawal_cluster_id
CMP00001,Pune,152748.63,2,Axis Bank,LOAN_FRAUD,4,Bank of Baroda,9,59,0,12
CMP00002,Jaipur,96887.37,2,Kotak Mahindra,IMPERSONATION,6,PNB,22,41,5,11
CMP00003,Kolkata,19669.51,1,Axis Bank,IMPERSONATION,9,Indian Bank,3,35,3,14
CMP00004,Ahmedabad,921848.66,4,Yes Bank,LOAN_FRAUD,4,Bank of Baroda,10,41,1,15
CMP00005,Jaipur,25729.69,1,Axis Bank,JOB_FRAUD,1,Bank of Baroda,14,31,1,18
CMP00006,Jaipur,43886.89,1,Yes Bank,LOAN_FRAUD,5,Bank of Baroda,13,18,2,12
CMP00007,Delhi,24500.95,1,Kotak Mahindra,TECH_SUPPORT_SCAM,10,SBI,9,10,3,14
CMP00008,Kolkata,100862.79,2,HDFC Bank,KYC_UPDATE,6,Bank of Baroda,11,19,1,15
CMP00009,Delhi,15957.63,1,ICICI Bank,OTP_SCAM,8,Canara Bank,16,18,2,10
CMP00010,Ahmedabad,43131.58,1,Yes Bank,LOTTERY_FRAUD,10,Canara Bank,17,63,5,12
CMP00011,Bengaluru,45950.68,1,HDFC Bank,TECH_SUPPORT_SCAM,10,Bank of Baroda,22,4,4,14
CMP00012,Patna,142960.37,2,Kotak Mahindra,OTP_SCAM,9,PNB,12,19,6,12
CMP00013,Delhi,37620.01,1,Kotak Mahindra,INVESTMENT_SCAM,7,Canara Bank,13,65,6,15
CMP00014,Lucknow,582696.79,4,ICICI Bank,LOTTERY_FRAUD,6,Indian Bank,12,41,1,13
CMP00015,Pune,19860.77,1,Axis Bank,TECH_SUPPORT_SCAM,8,Indian Bank,17,39,1,9
CMP00016,Surat,32419.5,1,ICICI Bank,LOAN_FRAUD,6,Bank of Baroda,23,36,2,17
CMP00017,Ahmedabad,48212.55,1,Axis Bank,IMPERSONATION,5,PNB,2,45,3,15
CMP00018,Chennai,70590.94,2,Yes Bank,INVESTMENT_SCAM,9,Canara Bank,19,31,1,17
CMP00019,Delhi,65081.74,2,HDFC Bank,INVESTMENT_SCAM,6,Bank of Baroda,4,1,4,5
CMP00020,Pune,48556.56,1,Kotak Mahindra,IMPERSONATION,11,Bank of Baroda,10,37,5,14
CMP00021,Kolkata,517595.66,4,Kotak Mahindra,OTP_SCAM,1,PNB,15,24,5,9
